Subject,Channel,Degree_Centrality,Clustering_Coefficient,Betweenness_Centrality,Eigenvector_Centrality,Connectivity_Type
sub-004,13,0.4444444444444444,0.8571428571428571,0.008379456418672106,,MI
sub-004,14,0.5,0.6111111111111112,0.05804007176556197,,MI
sub-004,15,0.16666666666666666,1.0,0.0,,MI
sub-004,16,0.5,0.7222222222222222,0.021091000502765207,,MI
sub-004,17,0.0,0.0,0.0,,MI
sub-004,18,0.4444444444444444,0.6428571428571429,0.043082770533750925,,MI
sub-005,0,0.0,0.0,0.0,,MI
sub-005,1,0.0,0.0,0.0,,MI
sub-005,2,0.0,0.0,0.0,,MI
sub-005,3,0.0,0.0,0.0,,MI
sub-005,4,0.38888888888888884,0.6666666666666666,0.0729847494553377,,MI
sub-005,5,0.5555555555555556,0.8,0.01591192032368503,,MI
sub-005,6,0.5555555555555556,0.7777777777777778,0.012099284158107688,,MI
sub-005,7,0.4444444444444444,0.8571428571428571,0.008877995642701524,,MI
sub-005,8,0.5555555555555556,0.7333333333333333,0.021739807033924682,,MI
sub-005,9,0.0,0.0,0.0,,MI
sub-005,10,0.4444444444444444,0.8214285714285714,0.006162464985994398,,MI
sub-005,11,0.0,0.0,0.0,,MI
sub-005,12,0.611111111111111,0.7272727272727273,0.027131963896669786,,MI
sub-005,13,0.38888888888888884,0.9047619047619048,0.004793028322440088,,MI
sub-005,14,0.2777777777777778,0.9,0.0008169934640522876,,MI
sub-005,15,0.4444444444444444,0.8928571428571429,0.003213507625272331,,MI
sub-005,16,0.05555555555555555,0.0,0.0,,MI
sub-005,17,0.4444444444444444,0.9285714285714286,0.0017507002801120449,,MI
sub-005,18,0.611111111111111,0.7272727272727273,0.027131963896669786,,MI
sub-006,0,0.1111111111111111,1.0,0.0,,MI
sub-006,1,0.1111111111111111,1.0,0.0,,MI
sub-006,2,0.4444444444444444,0.75,0.02494223278537004,,MI
sub-006,3,0.3333333333333333,0.8666666666666667,0.0029411764705882353,,MI
sub-006,4,0.38888888888888884,0.8095238095238095,0.017825311942959002,,MI
sub-006,5,0.0,0.0,0.0,,MI
sub-006,6,0.16666666666666666,0.6666666666666666,0.0032679738562091504,,MI
sub-006,7,0.6666666666666666,0.45454545454545453,0.2717270746682511,,MI
sub-006,8,0.3333333333333333,0.4,0.16612200435729846,,MI
sub-006,9,0.1111111111111111,1.0,0.0,,MI
sub-006,10,0.3333333333333333,0.7333333333333333,0.02421271538918597,,MI
sub-006,11,0.38888888888888884,0.6666666666666666,0.03020400079223608,,MI
sub-006,12,0.16666666666666666,0.6666666666666666,0.0016339869281045752,,MI
sub-006,13,0.5,0.6388888888888888,0.0449296890473361,,MI
sub-006,14,0.16666666666666666,0.6666666666666666,0.028322440087145975,,MI
sub-006,15,0.3333333333333333,0.4666666666666667,0.06508219449395922,,MI
sub-006,16,0.5,0.5,0.2025054466230937,,MI
sub-006,17,0.38888888888888884,0.8095238095238095,0.006427015250544663,,MI
sub-006,18,0.3333333333333333,0.6,0.05756915560837128,,MI
sub-007,0,0.16666666666666666,0.3333333333333333,0.011111111111111113,,MI
sub-007,1,0.1111111111111111,0.0,0.0032679738562091504,,MI
sub-007,2,0.3333333333333333,0.6,0.022564581388110797,,MI
sub-007,3,0.5,0.6944444444444444,0.04226579520697168,,MI
sub-007,4,0.5,0.75,0.033457827575474636,,MI
sub-007,5,0.05555555555555555,0.0,0.0,,MI
sub-007,6,0.38888888888888884,0.8095238095238095,0.00522875816993464,,MI
sub-007,7,0.0,0.0,0.0,,MI
sub-007,8,0.1111111111111111,1.0,0.0,,MI
sub-007,9,0.0,0.0,0.0,,MI
sub-007,10,0.5555555555555556,0.6222222222222222,0.06557734204793027,,MI
sub-007,11,0.5,0.7222222222222222,0.06918767507002802,,MI
sub-007,12,0.5,0.8055555555555556,0.011889200124494242,,MI
sub-007,13,0.5555555555555556,0.6666666666666666,0.05328353563647681,,MI
sub-007,14,0.2222222222222222,1.0,0.0,,MI
sub-007,15,0.611111111111111,0.6181818181818182,0.06722689075630252,,MI
sub-007,16,0.05555555555555555,0.0,0.0,,MI
sub-007,17,0.5,0.8333333333333334,0.007096171802054155,,MI
sub-007,18,0.1111111111111111,1.0,0.0,,MI
sub-008,0,0.5,0.8333333333333334,0.013071895424836602,,MI
sub-008,1,0.16666666666666666,1.0,0.0,,MI
